Trip Date,Trip Year,Trip Month,Day Name,Is Weekend,Service Type,Pickup Borough,Trip Count,Total Revenue,Total Fare Amount,Total Tip Amount,Avg Revenue Per Trip,Avg Fare Amount,Avg Tip Percentage,Avg Revenue Per Mile,Avg Trip Distance,Avg Trip Duration Minutes,Revenue Per Trip
2025-02-01,2025,2,Saturday,true,green,Unknown,1,8.0,6.5,0.0,8.0,6.5,0.0,11.43,0.7,4.0,8.0
2025-02-01,2025,2,Saturday,true,yellow,Bronx,587,17193.85,15543.53,70.44,29.29,26.48,0.35,19.09,6.49,25.25,29.29
2025-02-01,2025,2,Saturday,true,yellow,Brooklyn,3481,99695.84,87960.32,1819.14,28.64,25.27,2.99,9.72,5.15,22.92,28.64
2025-02-01,2025,2,Saturday,true,yellow,EWR,1,28.0,24.0,3.0,28.0,24.0,12.5,27.45,1.02,2.0,28.0
2025-02-01,2025,2,Saturday,true,yellow,Manhattan,127856,2816883.72,1885702.94,294860.03,22.03,14.75,17.89,14.61,2.24,13.36,22.03
2025-02-01,2025,2,Saturday,true,yellow,Queens,7023,455414.59,344106.53,49932.57,64.85,49.0,12.94,9.53,27.06,33.06,64.85
2025-02-01,2025,2,Saturday,true,yellow,Staten Island,6,232.67,152.02,0.0,38.78,25.34,0.0,3.82,9.74,23.83,38.78
2025-02-01,2025,2,Saturday,true,yellow,Unknown,308,7895.04,5435.58,925.87,25.63,17.65,20.46,22.95,2.85,18.27,25.63
2025-02-02,2025,2,Sunday,true,green,Bronx,9,134.8,116.29,0.01,14.98,12.92,0.01,8.08,2.05,10.33,14.98
2025-02-02,2025,2,Sunday,true,green,Brooklyn,244,7706.97,6179.17,866.29,31.59,25.32,15.88,19.63,4.33,49.39,31.59
2025-02-02,2025,2,Sunday,true,green,Manhattan,685,14528.51,10247.38,1930.2,21.21,14.96,18.31,10.65,2.56,18.2,21.21
2025-02-02,2025,2,Sunday,true,green,Queens,276,7953.13,6559.76,718.72,28.82,23.77,13.66,12.07,4.3,16.34,28.82
2025-02-02,2025,2,Sunday,true,green,Unknown,4,217.35,196.2,5.15,54.34,49.05,6.5,50.75,2.19,10.0,54.34
2025-02-02,2025,2,Sunday,true,yellow,Bronx,770,21991.42,19836.91,32.38,28.56,25.76,0.15,5.33,228.77,22.11,28.56
2025-02-02,2025,2,Sunday,true,yellow,Brooklyn,3664,104189.12,92773.25,1609.8,28.44,25.32,1.8,7.74,64.32,21.99,28.44
2025-02-02,2025,2,Sunday,true,yellow,Manhattan,100667,2199924.48,1466544.49,229243.84,21.85,14.57,17.75,13.57,3.52,12.24,21.85
2025-02-02,2025,2,Sunday,true,yellow,Queens,10668,668444.55,495923.21,75946.68,62.66,46.49,13.81,8.7,11.36,28.11,62.66
2025-02-02,2025,2,Sunday,true,yellow,Staten Island,8,446.59,299.68,11.13,55.82,37.46,2.23,5.07,11.63,23.0,55.82
2025-02-02,2025,2,Sunday,true,yellow,Unknown,290,8513.29,5881.32,1055.79,29.36,20.28,21.32,18.62,3.53,18.49,29.36
2025-02-03,2025,2,Monday,false,green,Bronx,13,258.32,212.71,10.08,19.87,16.36,3.33,8.36,3.41,20.31,19.87
